name,card_type,mana_cost,converted_cost,rules_text,rarity,latest_set,all_sets,legal_formats,power,toughness
"""Ach! Hans, Run!""","
                                Enchantment
                                ","['2', 'Red', 'Red', 'Green', 'Green']",6,"At the beginning of your upkeep, you may say ""Ach Hans, run It's the . . ."" and the name of a creature card. If you do, search your library for a card with that name, put it onto the battlefield, then shuffle. That creature gains haste. Exile it at the beginning of the next end step.",Rare,Unhinged,1,[], , 
"""Lifetime"" Pass Holder","
                                Creature  — Zombie Guest
                                (2/1)",['Black'],1,"""Lifetime"" Pass Holder enters the battlefield tapped.When ""Lifetime"" Pass Holder dies, open an Attraction.Whenever you roll to visit your Attractions, if you roll a 6, you may return ""Lifetime"" Pass Holder from your graveyard to the battlefield.",Rare,Unfinity,1,"['Legacy', 'Vintage', 'Commander']",2,1
"""Rumors of My Death . . .""","
                                Enchantment
                                ","['2', 'Black']",3,"3 Black , Exile a permanent you control with a League of Dastardly Doom watermark: Return a permanent card with a League of Dastardly Doom watermark from your graveyard to the battlefield.",Uncommon,Unstable,1,[], , 
_____,"
                                Creature  — Shapeshifter
                                (1/1)","['1', 'Blue']",2,"1 : This card's name becomes the card name of your choice. Activate anywhere, anytime.",Uncommon,Unhinged,1,[],1,1
_____ _____ _____ Trespasser,"
                                Creature  — Human Rogue Guest
                                (2/1)","['1', 'Blue']",2,"When this creature enters the battlefield, you may put a name sticker on it.3 Blue : This creature gets +1/+0 until end of turn for each name sticker on it. It can't be blocked this turn.",Uncommon,Unfinity,1,"['Legacy', 'Vintage', 'Commander']",2,1
______ ______ Rocketship,"
                                Artifact  — Vehicle
                                (2/3)",['4'],4,"FlyingWhen this Vehicle enters the battlefield, you may put up to two name stickers on it.Whenever this Vehicle attacks, choose a letter. This Vehicle gets +1/+1 until end of turn for each name sticker on it that begins with the chosen letter.Crew 2",Uncommon,Unfinity,1,"['Legacy', 'Vintage', 'Commander']",2,3
________ Balls of Fire,"
                                Enchantment
                                ","['3', 'Red']",4,"When this enchantment enters the battlefield, you may put a name sticker on it.Whenever you put a sticker on this enchantment, it deals damage equal to the number of <i>o</i>'s in name stickers on this enchantment to any target.",Uncommon,Unfinity,1,"['Legacy', 'Vintage', 'Commander']", , 
________ Bird Gets the Worm,"
                                Creature  — Bird Guest
                                (2/4)","['3', 'White', 'White']",5,"FlyingWhen this creature enters the battlefield, you may put a name sticker on it. You gain X life, where X is the number of unique vowels on that sticker. <i>(The vowels are A, E, I, O, U, and Y.)</i>",Common,Unfinity,1,"['Legacy', 'Vintage', 'Commander', 'Pauper']",2,4
________ Goblin,"
                                Creature  — Goblin Guest
                                (2/2)","['2', 'Red']",3,"When this creature enters the battlefield, you may put a name sticker on it. Add Red  for each unique vowel on that sticker. <i>(The vowels are A, E, I, O, U, and Y.)</i>",Common,Unfinity,1,"['Legacy', 'Vintage', 'Commander', 'Pauper']",2,2
________-o-saurus,"
                                Creature  — Alien Dinosaur
                                (3/3)","['4', 'Green', 'Green']",6,"TrampleWhen this creature enters the battlefield, you may put a name sticker on it. Put a +1/+1 counter on it for each unique vowel on that sticker. <i>(The vowels are A, E, I, O, U, and Y.)</i>",Common,Unfinity,1,"['Legacy', 'Vintage', 'Commander', 'Pauper']",3,3
